ImagePath,Type,ImageShape,ImageSize,Herbarium,Bord,Phyllotaxie,TypeFeuille,Ligneux,binaryBord,binaryPhyllotaxie,binaryTypeFeuille,binaryLigneux
Dataset\Test\amborella\amborella071.jpg,Test,"(5112, 3316, 3)",50854176,amborella,lisse,alterné,simple,oui,0,1,0,1
Dataset\Test\amborella\amborella072.jpg,Test,"(5104, 3358, 3)",51417696,amborella,lisse,alterné,simple,oui,0,1,0,1
Dataset\Test\amborella\amborella073.jpg,Test,"(5139, 3321, 3)",51199857,amborella,lisse,alterné,simple,oui,0,1,0,1
Dataset\Test\amborella\amborella074.jpg,Test,"(5134, 3282, 3)",50549364,amborella,lisse,alterné,simple,oui,0,1,0,1
Dataset\Test\amborella\amborella075.jpg,Test,"(5163, 3340, 3)",51733260,amborella,lisse,alterné,simple,oui,0,1,0,1
Dataset\Test\amborella\amborella076.jpg,Test,"(5188, 3311, 3)",51532404,amborella,lisse,alterné,simple,oui,0,1,0,1
Dataset\Test\amborella\amborella077.jpg,Test,"(5146, 3292, 3)",50821896,amborella,lisse,alterné,simple,oui,0,1,0,1
Dataset\Test\amborella\amborella078.jpg,Test,"(5170, 3300, 3)",51183000,amborella,lisse,alterné,simple,oui,0,1,0,1
Dataset\Test\amborella\amborella079.jpg,Test,"(5169, 3331, 3)",51653817,amborella,lisse,alterné,simple,oui,0,1,0,1
Dataset\Test\amborella\amborella080.jpg,Test,"(5162, 3300, 3)",51103800,amborella,lisse,alterné,simple,oui,0,1,0,1
Dataset\Test\castanea\castarea071.jpg,Test,"(5170, 3282, 3)",50903820,castanea,denté,alterné,simple,oui,1,1,0,1
Dataset\Test\castanea\castarea072.jpg,Test,"(5142, 3324, 3)",51276024,castanea,denté,alterné,simple,oui,1,1,0,1
Dataset\Test\castanea\castarea073.jpg,Test,"(5043, 3233, 3)",48912057,castanea,denté,alterné,simple,oui,1,1,0,1
Dataset\Test\castanea\castarea074.jpg,Test,"(4942, 3240, 3)",48036240,castanea,denté,alterné,simple,oui,1,1,0,1
Dataset\Test\castanea\castarea075.jpg,Test,"(5087, 3292, 3)",50239212,castanea,denté,alterné,simple,oui,1,1,0,1
Dataset\Test\castanea\castarea076.jpg,Test,"(5162, 3367, 3)",52141362,castanea,denté,alterné,simple,oui,1,1,0,1
Dataset\Test\castanea\castarea077.jpg,Test,"(5119, 3378, 3)",51875946,castanea,denté,alterné,simple,oui,1,1,0,1
Dataset\Test\castanea\castarea078.jpg,Test,"(5078, 3304, 3)",50333136,castanea,denté,alterné,simple,oui,1,1,0,1
Dataset\Test\castanea\castarea079.jpg,Test,"(5160, 3323, 3)",51440040,castanea,denté,alterné,simple,oui,1,1,0,1
Dataset\Test\castanea\castarea080.jpg,Test,"(5150, 3320, 3)",51294000,castanea,denté,alterné,simple,oui,1,1,0,1
Dataset\Test\convolvulaceae\convolvulaceae071.jpg,Test,"(5114, 3273, 3)",50214366,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
Dataset\Test\convolvulaceae\convolvulaceae072.jpg,Test,"(5024, 3257, 3)",49089504,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
Dataset\Test\convolvulaceae\convolvulaceae073.jpg,Test,"(5052, 3246, 3)",49196376,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
Dataset\Test\convolvulaceae\convolvulaceae074.jpg,Test,"(5090, 3235, 3)",49398450,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
Dataset\Test\convolvulaceae\convolvulaceae075.jpg,Test,"(5113, 3263, 3)",50051157,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
