ImagePath,Type,ImageShape,ImageSize,Herbarium,Bord,Phyllotaxie,TypeFeuille,Ligneux,binaryBord,binaryPhyllotaxie,binaryTypeFeuille,binaryLigneux
Transformed_Dataset\Test\amborella\amborella071.jpg,Test,"(792, 512, 3)",1216512,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\amborella\amborella072.jpg,Test,"(792, 512, 3)",1216512,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\amborella\amborella073.jpg,Test,"(792, 512, 3)",1216512,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\amborella\amborella074.jpg,Test,"(792, 512, 3)",1216512,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\amborella\amborella075.jpg,Test,"(792, 512, 3)",1216512,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\amborella\amborella076.jpg,Test,"(792, 512, 3)",1216512,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\amborella\amborella077.jpg,Test,"(792, 512, 3)",1216512,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\amborella\amborella078.jpg,Test,"(792, 512, 3)",1216512,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\amborella\amborella079.jpg,Test,"(792, 512, 3)",1216512,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\amborella\amborella080.jpg,Test,"(792, 512, 3)",1216512,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\castanea\castarea071.jpg,Test,"(792, 512, 3)",1216512,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\castanea\castarea072.jpg,Test,"(792, 512, 3)",1216512,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\castanea\castarea073.jpg,Test,"(792, 512, 3)",1216512,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\castanea\castarea074.jpg,Test,"(792, 512, 3)",1216512,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\castanea\castarea075.jpg,Test,"(792, 512, 3)",1216512,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\castanea\castarea076.jpg,Test,"(792, 512, 3)",1216512,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\castanea\castarea077.jpg,Test,"(792, 512, 3)",1216512,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\castanea\castarea078.jpg,Test,"(792, 512, 3)",1216512,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\castanea\castarea079.jpg,Test,"(792, 512, 3)",1216512,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\castanea\castarea080.jpg,Test,"(792, 512, 3)",1216512,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\convolvulaceae\convolvulaceae071.jpg,Test,"(792, 512, 3)",1216512,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
Transformed_Dataset\Test\convolvulaceae\convolvulaceae072.jpg,Test,"(792, 512, 3)",1216512,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
Transformed_Dataset\Test\convolvulaceae\convolvulaceae073.jpg,Test,"(792, 512, 3)",1216512,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
Transformed_Dataset\Test\convolvulaceae\convolvulaceae074.jpg,Test,"(792, 512, 3)",1216512,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
Transformed_Dataset\Test\convolvulaceae\convolvulaceae075.jpg,Test,"(792, 512, 3)",1216512,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
Transformed_Dataset\Test\convolvulaceae\convolvulaceae076.jpg,Test,"(792, 512, 3)",1216512,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
Transformed_Dataset\Test\convolvulaceae\convolvulaceae077.jpg,Test,"(792, 512, 3)",1216512,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
Transformed_Dataset\Test\convolvulaceae\convolvulaceae078.jpg,Test,"(792, 512, 3)",1216512,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
Transformed_Dataset\Test\convolvulaceae\convolvulaceae079.jpg,Test,"(792, 512, 3)",1216512,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
Transformed_Dataset\Test\convolvulaceae\convolvulaceae080.jpg,Test,"(792, 512, 3)",1216512,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
Transformed_Dataset\Test\desmodium\desmodium071.jpg,Test,"(792, 512, 3)",1216512,desmodium,lisse,alterné,composée,non,0,1,1,0
Transformed_Dataset\Test\desmodium\desmodium072.jpg,Test,"(792, 512, 3)",1216512,desmodium,lisse,alterné,composée,non,0,1,1,0
Transformed_Dataset\Test\desmodium\desmodium073.jpg,Test,"(792, 512, 3)",1216512,desmodium,lisse,alterné,composée,non,0,1,1,0
Transformed_Dataset\Test\desmodium\desmodium074.jpg,Test,"(792, 512, 3)",1216512,desmodium,lisse,alterné,composée,non,0,1,1,0
Transformed_Dataset\Test\desmodium\desmodium075.jpg,Test,"(792, 512, 3)",1216512,desmodium,lisse,alterné,composée,non,0,1,1,0
Transformed_Dataset\Test\desmodium\desmodium076.jpg,Test,"(792, 512, 3)",1216512,desmodium,lisse,alterné,composée,non,0,1,1,0
Transformed_Dataset\Test\desmodium\desmodium077.jpg,Test,"(792, 512, 3)",1216512,desmodium,lisse,alterné,composée,non,0,1,1,0
Transformed_Dataset\Test\desmodium\desmodium078.jpg,Test,"(792, 512, 3)",1216512,desmodium,lisse,alterné,composée,non,0,1,1,0
Transformed_Dataset\Test\desmodium\desmodium079.jpg,Test,"(792, 512, 3)",1216512,desmodium,lisse,alterné,composée,non,0,1,1,0
Transformed_Dataset\Test\desmodium\desmodium080.jpg,Test,"(792, 512, 3)",1216512,desmodium,lisse,alterné,composée,non,0,1,1,0
Transformed_Dataset\Test\eugenia\eugenia071.jpg,Test,"(792, 512, 3)",1216512,eugenia,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\eugenia\eugenia072.jpg,Test,"(792, 512, 3)",1216512,eugenia,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\eugenia\eugenia073.jpg,Test,"(792, 512, 3)",1216512,eugenia,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\eugenia\eugenia074.jpg,Test,"(792, 512, 3)",1216512,eugenia,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\eugenia\eugenia075.jpg,Test,"(792, 512, 3)",1216512,eugenia,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\eugenia\eugenia076.jpg,Test,"(792, 512, 3)",1216512,eugenia,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\eugenia\eugenia077.jpg,Test,"(792, 512, 3)",1216512,eugenia,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\eugenia\eugenia078.jpg,Test,"(792, 512, 3)",1216512,eugenia,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\eugenia\eugenia079.jpg,Test,"(792, 512, 3)",1216512,eugenia,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\eugenia\eugenia080.jpg,Test,"(792, 512, 3)",1216512,eugenia,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\laurus\laurus071.jpg,Test,"(792, 512, 3)",1216512,laurus,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\laurus\laurus072.jpg,Test,"(792, 512, 3)",1216512,laurus,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\laurus\laurus073.jpg,Test,"(792, 512, 3)",1216512,laurus,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\laurus\laurus074.jpg,Test,"(792, 512, 3)",1216512,laurus,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\laurus\laurus075.jpg,Test,"(792, 512, 3)",1216512,laurus,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\laurus\laurus076.jpg,Test,"(792, 512, 3)",1216512,laurus,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\laurus\laurus077.jpg,Test,"(792, 512, 3)",1216512,laurus,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\laurus\laurus078.jpg,Test,"(792, 512, 3)",1216512,laurus,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\laurus\laurus079.jpg,Test,"(792, 512, 3)",1216512,laurus,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\laurus\laurus080.jpg,Test,"(792, 512, 3)",1216512,laurus,lisse,opposé,simple,oui,0,0,0,1
Transformed_Dataset\Test\litsea\litsea071.jpg,Test,"(792, 512, 3)",1216512,litsea,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\litsea\litsea072.jpg,Test,"(792, 512, 3)",1216512,litsea,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\litsea\litsea073.jpg,Test,"(792, 512, 3)",1216512,litsea,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\litsea\litsea074.jpg,Test,"(792, 512, 3)",1216512,litsea,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\litsea\litsea075.jpg,Test,"(792, 512, 3)",1216512,litsea,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\litsea\litsea076.jpg,Test,"(792, 512, 3)",1216512,litsea,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\litsea\litsea077.jpg,Test,"(792, 512, 3)",1216512,litsea,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\litsea\litsea078.jpg,Test,"(792, 512, 3)",1216512,litsea,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\litsea\litsea079.jpg,Test,"(792, 512, 3)",1216512,litsea,lisse,alterné,simple,oui,0,1,0,1
