ImagePath,Type,ImageShape,ImageSize,Herbarium,Bord,Phyllotaxie,TypeFeuille,Ligneux,binaryBord,binaryPhyllotaxie,binaryTypeFeuille,binaryLigneux
Transformed_Dataset\Train\amborella\amborella081.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella082.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella083.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella084.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella085.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella086.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella087.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella088.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella089.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella090.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella091.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella092.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella093.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella094.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella095.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella096.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella097.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella098.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella099.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\amborella\amborella100.jpg,Train,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Train\castanea\castarea081.jpg,Train,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Train\castanea\castarea082.jpg,Train,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Train\castanea\castarea083.jpg,Train,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Train\castanea\castarea084.jpg,Train,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Train\castanea\castarea085.jpg,Train,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Train\castanea\castarea086.jpg,Train,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Train\castanea\castarea087.jpg,Train,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Train\castanea\castarea088.jpg,Train,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Train\castanea\castarea089.jpg,Train,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Train\castanea\castarea090.jpg,Train,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Train\castanea\castarea091.jpg,Train,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Train\castanea\castarea092.jpg,Train,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Train\castanea\castarea093.jpg,Train,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Train\castanea\castarea094.jpg,Train,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Train\castanea\castarea095.jpg,Train,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Train\castanea\castarea096.jpg,Train,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
