ImagePath,Type,ImageShape,ImageSize,Herbarium,Bord,Phyllotaxie,TypeFeuille,Ligneux,binaryBord,binaryPhyllotaxie,binaryTypeFeuille,binaryLigneux
Transformed_Dataset\Test\amborella\amborella074.jpg,Validation,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\amborella\amborella071.jpg,Validation,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\amborella\amborella078.jpg,Validation,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\amborella\amborella075.jpg,Validation,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\amborella\amborella080.jpg,Validation,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\amborella\amborella077.jpg,Validation,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\amborella\amborella076.jpg,Validation,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\amborella\amborella079.jpg,Validation,"(512, 512, 3)",786432,amborella,lisse,alterné,simple,oui,0,1,0,1
Transformed_Dataset\Test\castanea\castarea072.jpg,Validation,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\castanea\castarea079.jpg,Validation,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\castanea\castarea076.jpg,Validation,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\castanea\castarea078.jpg,Validation,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\castanea\castarea075.jpg,Validation,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\castanea\castarea073.jpg,Validation,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\castanea\castarea074.jpg,Validation,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\castanea\castarea080.jpg,Validation,"(512, 512, 3)",786432,castanea,denté,alterné,simple,oui,1,1,0,1
Transformed_Dataset\Test\convolvulaceae\convolvulaceae073.jpg,Validation,"(512, 512, 3)",786432,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
Transformed_Dataset\Test\convolvulaceae\convolvulaceae072.jpg,Validation,"(512, 512, 3)",786432,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
Transformed_Dataset\Test\convolvulaceae\convolvulaceae075.jpg,Validation,"(512, 512, 3)",786432,convolvulaceae,lisse,alterné,simple,non,0,1,0,0
